latitude,longitude,altitude,geometry,English Name,Latitude,Longitude,Nom en français,Station ID
47.56,-52.711388888888,,Point,St. John's,47.56,-52.711388888888,St. John's,10102
47.5051277777778,-52.794761111111,,Point,Mount Pearl,47.5051277777778,-52.794761111111,Mount Pearl,10401
48.9269444444444,-55.659722222222,,Point,Grand Falls - Windsor,48.9269444444444,-55.659722222222,Grand Falls - Windsor,10501
53.30472,-60.36444,,Point,Goose Bay,53.30472,-60.36444,Goose Bay,10601
48.95224,-57.92207,,Point,Corner Brook,48.95224,-57.92207,Corner Brook,10602
50.71124,-57.36365,,Point,Port au Choix,50.71124,-57.36365,Port au Choix,10801
47.09899,-55.19852,,Point,Marystown/Burin,47.09899,-55.19852,Marystown/Burin,10901
52.945487,-66.910306,,Point,FIREHALL-LABRADORCITY2,52.945487,-66.910306,FIREHALL-LABRADORCITY2,11002
46.233,-63.13667,,Point,Charlottetown,46.233,-63.13667,Charlottetown,20104
46.45,-64,,Point,Wellington,46.45,-64.0,Wellington,20301
46.38752,-62.58122,,Point,Southampton,46.38752,-62.58122,Southampton,20401
44.647,-63.574,,Point,Halifax Downtown,44.647,-63.574,Halifax - centre-ville,30001
44.647,-63.574,,Point,Johnston Building,44.647,-63.574,Johnston Building,30113
44.71969,-63.48162,,Point,Lake Major,44.71969,-63.48162,Lake Major,30120
45.61394,-61.36235,,Point,Port Hawkesbury,45.61394,-61.36235,Port Hawkesbury,30201
46.14222,-60.17252,,Point,Sydney (Welton Street),46.14222,-60.17252,Sydney (Welton Street),30310
44.40298,-65.20277,,Point,Kejimkujik Site B,44.40298,-65.20277,Kejimkujik Site B,30502
45.07267,-64.84033,,Point,Aylesford Mountain,45.07267,-64.84033,Aylesford Mountain,30701
45.68167,-62.69664,,Point,Pictou,45.68167,-62.69664,Pictou,30901
45.0666666666667,-64.483333333333,,Point,Kentville,45.0666666666667,-64.483333333333,Kentville,31101
45.957344,-66.645562,,Point,Fredericton Needham,45.957344,-66.645562,Fredericton Needham,40104
45.30888,-66.00833,,Point,Forest Hills,45.30888,-66.00833,Forest Hills,40203
45.25277,-66.08003,,Point,West Side,45.25277,-66.08003,West Side,40207
45.2802777777778,-66.056111111111,,Point,Castle Street,45.2802777777778,-66.056111111111,Castle Street,40209
46.10138,-64.78964,,Point,Moncton,46.10138,-64.78964,Moncton,40302
45.086912,-67.074036,,Point,St. Andrews,45.086912,-67.074036,St. Andrews,40901
47.6095277777778,-65.633527777777,,Point,Bathurst,47.6095277777778,-65.633527777777,Bathurst,41302
47.363195,-68.322302,,Point,Edmundston Queen St.,47.363195,-68.322302,Edmundston rue Queen,41501
47.02567,-65.52049,,Point,Miramichi,47.02567,-65.52049,Miramichi,41601
47.999336,-66.683511,,Point,Campbellton,47.999336,-66.683511,Campbellton,49998
45.6408333333333,-73.499722222222,,Point,Saint-Jean-Baptiste,45.6408333333333,-73.499722222222,Saint-Jean-Baptiste,50103
45.5025,-73.66389,,Point,Duncan & Décarie,45.5025,-73.66389,Duncan & Décarie,50109
45.5475,-73.74694,,Point,Chomedey,45.5475,-73.74694,Chomedey,50113
45.5216666666667,-73.4875,,Point,Bourassa,45.5216666666667,-73.4875,Bourassa,50119
45.448663,-73.480819,,Point,Parc Sorbonne,45.448663,-73.480819,Parc Sorbonne,50122
45.60278,-73.55833,,Point,Anjou,45.60278,-73.55833,Anjou,50124
45.4266666666667,-73.929166666666,,Point,Sainte-Anne-de-Bellevue,45.4266666666667,-73.929166666666,Sainte-Anne-de-Bellevue,50126
45.4680555555556,-73.741111111111,,Point,Aéroport de Montréal,45.4680555555556,-73.741111111111,Aéroport de Montréal,50128
45.6517833,-73.5738,,Point,Rivière-des-Prairies,45.6517833,-73.5738,Rivière-des-Prairies,50129
45.53987,-73.54074,,Point,Hochelaga-Maisonneuve,45.53987,-73.54074,Hochelaga-Maisonneuve,50131
45.54271,-73.57176,,Point,Saint-Joseph (Molson),45.54271,-73.57176,Saint-Joseph (Molson),50134
45.593325,-73.637328,,Point,Firehouse 17,45.593325,-73.637328,Caserne 17,50135
45.5122194444,-73.5669222222,,Point,St-Dominique,45.5122194444,-73.5669222222,St-Dominique,50136
45.704754,-73.657777,,Point,Parc Vaillant,45.704754,-73.657777,Parc Vaillant,50137
45.4645583333,-73.58275,,Point,York-Roberval,45.4645583333,-73.58275,York-Roberval,50138
45.4369444444444,-75.726111111111,,Point,Hull (Île),45.4369444444444,-75.726111111111,Hull (Île),50204
46.8211111111111,-71.22083,,Point,Des Sables,46.8211111111111,-71.22083,Des Sables,50308
46.7969444444444,-71.246111111111,,Point,Saint-Charles Garnier,46.7969444444444,-71.246111111111,Saint-Charles Garnier,50310
46.77416667,-71.36972222,,Point,Parc Primevères,46.77416667,-71.36972222,Parc Primevères,50311
45.4125,-71.874444,,Point,Parc Cambron,45.4125,-71.874444,Parc Cambron,50404
48.41639,-71.0525,,Point,Université Chicoutimi,48.41639,-71.0525,Université Chicoutimi,50504
48.23444,-78.98333,,Point,Parc Tremblay,48.23444,-78.98333,Parc Tremblay,50604
46.357175,-72.546187,,Point,TROIS-RIVIERES-MEES,46.357175,-72.546187,TROIS-RIVIERES-MEES,50803
46.5544444444444,-72.73556,,Point,Frigon,46.5544444444444,-72.73556,Frigon,51201
46.0425,-72.66,,Point,Zéphirin,46.0425,-72.66,Zéphirin,51501
46.44111,-72.892777777777,,Point,Charette,46.44111,-72.892777777777,Charette,52001
45.71583,-72.84028,,Point,Saint-Simon,45.71583,-72.84028,Saint-Simon,52201
46.035,-74.480833,,Point,Saint Faustin,46.035,-74.480833,Saint Faustin,52301
45.6222222222222,-76.017777777777,,Point,La Pêche,45.6222222222222,-76.017777777777,La Pêche,52401
46.7213889,-79.0997222,,Point,Temiscaming,46.7213889,-79.0997222,Temiscaming,52701
47.73333,-68.70722,,Point,Auclair,47.73333,-68.70722,Auclair,52801
48.80972,-72.73889,,Point,Pémonca,48.80972,-72.73889,Pémonca,53201
46.6822222222222,-71.967777777777,,Point,Deschambault-Ramco,46.6822222222222,-71.967777777777,Deschambault-Ramco,53301
47.0147222222222,-70.864444444444,,Point,François,47.0147222222222,-70.864444444444,François,53501
46.8508333333333,-70.452777777777,,Point,Notre-Dame du Rosaire,46.8508333333333,-70.452777777777,Notre-Dame du Rosaire,53601
45.82472,-70.85583,,Point,Hilaire,45.82472,-70.85583,Hilaire,53701
45.9075,-71.949166666666,,Point,Tingwick,45.9075,-71.949166666666,Tingwick,53801
47.6472222222222,-72.29056,,Point,Édouard,47.6472222222222,-72.29056,Édouard,53901
45.0886111111111,-72.556944444444,,Point,Mont Sutton/Round Top Ridge,45.0886111111111,-72.556944444444,Mont Sutton/Round Top Ridge,54102
49.82222,-74.97639,,Point,Chapais,49.82222,-74.97639,Chapais,54201
45.1166666666667,-74.283333333333,,Point,Saint-Anicet,45.1166666666667,-74.283333333333,Saint-Anicet,54401
46.35,-72.433333333333,,Point,Bécancour,46.35,-72.433333333333,Bécancour,54703
45.37389,-71.25,,Point,Ditton,45.37389,-71.25,Ditton,54901
46.7686111111111,-75.431944444444,,Point,Mont Saint-Michel,46.7686111111111,-75.431944444444,Mont Saint-Michel,55001
48.4325,-77.19972,,Point,Bell,48.4325,-77.19972,Bell,55101
45.294166,-73.34888,,Point,L'Acadie,45.294166,-73.34888,L'Acadie,55301
46.36246,-72.510093,,Point,Roy,46.36246,-72.510093,Roy,55401
45.05166,-72.86166,,Point,Frelighsburg,45.05166,-72.86166,Frelighsburg,55501
50.26666,-64.21666,,Point,Mingan,50.26666,-64.21666,Mingan,55601
46.80598,-71.167448,,Point,Parc Georges Maranda,46.80598,-71.167448,Parc Georges Maranda,55702
45.434329,-75.676003,,Point,Ottawa Downtown,45.434329,-75.676003,Ottawa - centre-ville,60104
42.315778,-83.043667,,Point,Windsor Downtown,42.315778,-83.043667,Windsor - centre-ville,60204
42.292889,-83.073139,,Point,Windsor West,42.292889,-83.073139,Windsor - ouest,60211
44.219867,-76.521128,,Point,Kingston,44.219867,-76.521128,Kingston,60304
43.747917,-79.274056,,Point,Toronto East,43.747917,-79.274056,Toronto - est,60410
43.709444,-79.5435,,Point,Toronto West,43.709444,-79.5435,Toronto - ouest,60430
43.54697,-79.65869,,Point,Mississauga,43.54697,-79.65869,Mississauga,60434
